2022-12-21 01:09:55,026 - ndxpro-pintel-kalman - INFO - Time(frame): 1090, Vehicle No: {'id': 991, 'linkId': 10136, 'lane': 1, 'location': 30.47753571414735, 'speed': 41.87658012994692, 'position': [-5747073.100794906, -967536.9751145515]}
2022-12-21 01:09:55,034 - ndxpro-pintel-kalman - INFO - Time(frame): 1090, Vehicle No: {'id': 1032, 'linkId': 102, 'lane': 4, 'location': 106.91850460949823, 'speed': 41.72198672446973, 'position': [-5747560.534168594, -967218.5358219771]}
2022-12-21 01:09:55,039 - ndxpro-pintel-kalman - INFO - Time(frame): 1090, Vehicle No: {'id': 1046, 'linkId': 99, 'lane': 3, 'location': 48.647288060434896, 'speed': 38.59387522337476, 'position': [-5747466.444007503, -967433.4256755711]}
2022-12-21 01:09:55,043 - ndxpro-pintel-kalman - INFO - Time(frame): 1090, Vehicle No: {'id': 1053, 'linkId': 131, 'lane': 3, 'location': 143.60335924151016, 'speed': 0, 'position': [-5747366.6703253975, -967678.835660754]}
2022-12-21 01:09:55,047 - ndxpro-pintel-kalman - INFO - Time(frame): 1090, Vehicle No: {'id': 1070, 'linkId': 118, 'lane': 4, 'location': 10.304014478331416, 'speed': 44.96938016005548, 'position': [-5747531.93666483, -967720.3587068282]}
2022-12-21 01:09:55,053 - ndxpro-pintel-kalman - INFO - Time(frame): 1090, Vehicle No: {'id': 1079, 'linkId': 133, 'lane': 3, 'location': 57.74944424226794, 'speed': 30.65207020086034, 'position': [-5747295.417515181, -967847.1715122932]}
2022-12-21 01:09:55,058 - ndxpro-pintel-kalman - INFO - Time(frame): 1090, Vehicle No: {'id': 1086, 'linkId': 135, 'lane': 3, 'location': 22.856946835769286, 'speed': 44.87591744164841, 'position': [-5747257.255508892, -967934.3432446517]}
2022-12-21 01:09:55,062 - ndxpro-pintel-kalman - INFO - Time(frame): 1090, Vehicle No: {'id': 1095, 'linkId': 136, 'lane': 1, 'location': 1.999999792759456, 'speed': 0, 'position': [-5747228.397097861, -967985.1371811039]}
2022-12-21 01:09:55,065 - ndxpro-pintel-kalman - INFO - Time(frame): 1090, Vehicle No: {'id': 1099, 'linkId': 117, 'lane': 4, 'location': 84.87757379416344, 'speed': 38.51026336515521, 'position': [-5747477.26440048, -967688.7546466669]}
2022-12-21 01:09:55,072 - ndxpro-pintel-kalman - INFO - Time(frame): 1090, Vehicle No: {'id': 1102, 'linkId': 99, 'lane': 4, 'location': 60.03486796474482, 'speed': 33.74433136867796, 'position': [-5747473.845684824, -967424.198967116]}
2022-12-21 01:09:55,073 - ndxpro-pintel-kalman - INFO - Time(frame): 1090, Vehicle No: {'id': 1104, 'linkId': 10212, 'lane': 1, 'location': 15.704261169619874, 'speed': 0, 'position': [-5747226.976481736, -967990.4639170235]}
2022-12-21 01:09:55,077 - ndxpro-pintel-kalman - INFO - Time(frame): 1090, Vehicle No: {'id': 1110, 'linkId': 10212, 'lane': 1, 'location': 3.657427687888594, 'speed': 0, 'position': [-5747222.947606512, -968001.8170822812]}
2022-12-21 01:09:55,079 - ndxpro-pintel-kalman - INFO - Time(frame): 1090, Vehicle No: {'id': 1116, 'linkId': 137, 'lane': 1, 'location': 223.3071813364288, 'speed': 0, 'position': [-5747220.454658439, -968006.9503327985]}
2022-12-21 01:09:55,081 - ndxpro-pintel-kalman - INFO - Time(frame): 1090, Vehicle No: {'id': 1125, 'linkId': 137, 'lane': 1, 'location': 215.60485210647755, 'speed': 0, 'position': [-5747217.431072996, -968014.0343857793]}
2022-12-21 01:09:55,083 - ndxpro-pintel-kalman - INFO - Time(frame): 1090, Vehicle No: {'id': 1131, 'linkId': 131, 'lane': 3, 'location': 150.17670283857322, 'speed': 0, 'position': [-5747369.25499028, -967672.7917916711]}
